Playback Hour,Operating System,Browser,Delivery Type,City,Country,ISP,State,Content Quality Entitled,Entitlement Type,Video Type,Audio Language,Title,,,
08/07/2012 3:00:00,Windows 7,Firefox 14.0.1 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,21 Jump Street,,,
08/21/2012 1:00:00,Windows 7,Firefox 14.0.1 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,The Hunger Games,,,
08/24/2012 2:00:00,Windows 7,Firefox 14.0.1 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,The Hunger Games,,,
08/25/2012 1:00:00,Windows 7,Firefox 14.0.1 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,The Hunger Games,,,
08/25/2012 2:00:00,Windows 7,Firefox 14.0.1 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,The Hunger Games,,,
08/27/2012 3:00:00,Windows 7,Firefox 14.0.1 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,The Hunger Games,,,
09/16/2012 2:00:00,Windows 7,Firefox 15.0.1 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Transformers: Dark of the Moon,,,
10/27/2012 21:00:00,CELL_OS,,streaming,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Dark Shadows,,,
11/04/2012 3:00:00,Windows 7,Firefox 16.0 AIV_FLASH_PLAYER_CC_2_14021,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Dark Shadows,,,
11/04/2012 3:00:00,CELL_OS,,streaming,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Dark Shadows,,,
11/04/2012 4:00:00,CELL_OS,,streaming,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Dark Shadows,,,
